model,threshold,precision,recall,f1
logistic_regression,0.01,1.0,1.0,1.0
logistic_regression,0.1,1.0,1.0,1.0
logistic_regression,0.2,1.0,1.0,1.0
logistic_regression,0.3,1.0,1.0,1.0
logistic_regression,0.4,1.0,1.0,1.0
logistic_regression,0.5,1.0,1.0,1.0
logistic_regression,0.6,1.0,1.0,1.0
logistic_regression,0.7,1.0,1.0,1.0
logistic_regression,0.8,1.0,1.0,1.0
logistic_regression,0.9,1.0,1.0,1.0
random_forest,0.01,1.0,1.0,1.0
random_forest,0.1,1.0,1.0,1.0
random_forest,0.2,1.0,1.0,1.0
random_forest,0.3,1.0,1.0,1.0
random_forest,0.4,1.0,1.0,1.0
random_forest,0.5,1.0,1.0,1.0
random_forest,0.6,1.0,1.0,1.0
random_forest,0.7,1.0,1.0,1.0
random_forest,0.8,1.0,1.0,1.0
random_forest,0.9,1.0,1.0,1.0
xgboost,0.01,1.0,1.0,1.0
xgboost,0.1,1.0,1.0,1.0
xgboost,0.2,1.0,1.0,1.0
xgboost,0.3,1.0,1.0,1.0
xgboost,0.4,1.0,1.0,1.0
xgboost,0.5,1.0,1.0,1.0
xgboost,0.6,0.0,0.0,0.0
xgboost,0.7,0.0,0.0,0.0
xgboost,0.8,0.0,0.0,0.0
xgboost,0.9,0.0,0.0,0.0
lightgbm,0.01,1.0,1.0,1.0
lightgbm,0.1,1.0,1.0,1.0
lightgbm,0.2,1.0,1.0,1.0
lightgbm,0.3,1.0,1.0,1.0
lightgbm,0.4,1.0,1.0,1.0
lightgbm,0.5,1.0,1.0,1.0
lightgbm,0.6,0.0,0.0,0.0
lightgbm,0.7,0.0,0.0,0.0
lightgbm,0.8,0.0,0.0,0.0
lightgbm,0.9,0.0,0.0,0.0
