iter	Passed	Remaining
0	150	14945
1	153	7522
2	155	5042
3	158	3796
4	160	3047
5	162	2546
6	165	2192
7	167	1925
8	169	1717
9	172	1552
10	174	1413
11	177	1300
12	179	1203
13	182	1119
14	184	1044
15	186	980
16	188	922
17	191	870
18	193	824
19	195	782
20	197	744
21	200	709
22	202	677
23	204	648
24	207	621
25	209	596
26	211	572
27	214	550
28	216	529
29	218	509
30	220	490
31	222	473
32	224	456
33	227	440
34	229	426
35	231	411
36	233	398
37	236	385
38	238	373
39	240	361
40	243	349
41	245	338
42	247	328
43	249	317
44	251	307
45	254	298
46	256	289
47	258	280
48	260	271
49	263	263
50	265	254
51	267	246
52	269	239
53	271	231
54	274	224
55	277	218
56	280	211
57	282	204
58	284	197
59	287	191
60	289	184
61	291	178
62	293	172
63	295	166
64	297	160
65	300	154
66	302	148
67	304	143
68	306	137
69	309	132
70	311	127
71	314	122
72	316	117
73	318	111
74	320	106
75	322	101
76	324	97
77	327	92
78	329	87
79	331	82
80	333	78
81	336	73
82	338	69
83	340	64
84	343	60
85	345	56
86	348	52
87	350	47
88	353	43
89	355	39
90	358	35
91	360	31
92	363	27
93	365	23
94	368	19
95	370	15
96	372	11
97	375	7
98	377	3
99	380	0
