model,threshold,precision,recall,f1
logistic_regression,0.1,0.492845786963434,1.0,0.6602768903088392
logistic_regression,0.2,0.571825764596849,0.9951612903225806,0.7263095938787522
logistic_regression,0.3,0.6297435897435898,0.9903225806451613,0.7699059561128526
logistic_regression,0.4,0.6755852842809364,0.9774193548387097,0.7989452867501649
logistic_regression,0.5,0.7188995215311005,0.9693548387096774,0.8255494505494505
logistic_regression,0.6,0.7583120204603581,0.9564516129032258,0.8459343794579173
logistic_regression,0.7,0.8027586206896552,0.9387096774193548,0.8654275092936803
logistic_regression,0.8,0.8658536585365854,0.9161290322580645,0.890282131661442
logistic_regression,0.84,0.8951612903225806,0.8951612903225806,0.8951612903225806
logistic_regression,0.9,0.9385171790235082,0.8370967741935483,0.8849104859335039
xgboost,0.1,0.5869980879541109,0.9903225806451613,0.737094837935174
xgboost,0.2,0.6390346274921301,0.9822580645161291,0.7743165924984107
xgboost,0.3,0.6795016987542469,0.967741935483871,0.7984031936127745
xgboost,0.4,0.7217496962332929,0.9580645161290322,0.8232848232848233
xgboost,0.5,0.7639429312581063,0.95,0.8468727534148095
xgboost,0.6,0.7991689750692521,0.9306451612903226,0.8599105812220567
xgboost,0.7,0.8448795180722891,0.9048387096774193,0.8738317757009346
xgboost,0.76,0.870253164556962,0.8870967741935484,0.8785942492012779
xgboost,0.8,0.8890728476821192,0.8661290322580645,0.8774509803921569
xgboost,0.9,0.948076923076923,0.7951612903225806,0.8649122807017544
lightgbm,0.1,0.6390346274921301,0.9822580645161291,0.7743165924984107
lightgbm,0.2,0.6875,0.9758064516129032,0.8066666666666666
lightgbm,0.3,0.7272727272727273,0.967741935483871,0.8304498269896193
lightgbm,0.4,0.7542043984476067,0.9403225806451613,0.8370423546302943
lightgbm,0.5,0.797486033519553,0.9209677419354839,0.8547904191616766
lightgbm,0.6,0.8328402366863905,0.9080645161290323,0.8688271604938271
lightgbm,0.7,0.8700475435816165,0.885483870967742,0.8776978417266187
lightgbm,0.71,0.8766025641025641,0.882258064516129,0.8794212218649518
lightgbm,0.8,0.8957264957264958,0.8451612903225807,0.8697095435684647
lightgbm,0.9,0.9371428571428572,0.7935483870967742,0.8593886462882097
random_forest,0.1,0.5934172313649564,0.9887096774193549,0.7416817906836055
random_forest,0.2,0.6824858757062147,0.9741935483870968,0.8026578073089701
random_forest,0.3,0.7385377942998761,0.9612903225806452,0.8353188507358094
random_forest,0.4,0.7891156462585034,0.9354838709677419,0.8560885608856088
random_forest,0.5,0.8400597907324364,0.9064516129032258,0.8719937936384794
random_forest,0.6,0.8834154351395731,0.867741935483871,0.8755085435313262
random_forest,0.62,0.8901830282861897,0.8629032258064516,0.8763308763308764
random_forest,0.7,0.9181818181818182,0.8145161290322581,0.8632478632478633
random_forest,0.8,0.9508196721311475,0.7483870967741936,0.8375451263537906
random_forest,0.9,0.9825,0.6338709677419355,0.7705882352941177
